dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-1.014421736007931	0.18463984428737792	1.4068176014019682	-23.937831850915632	0.6931471805599453	1.15389993552262e-24	axoneme	1. axoneme	['GO:0005930']	GO:0005930	0
2	-0.22423916552380443	0.8231968723019637	1.6878896622949058	-23.74802281571833	1.0986122886681098	1.78639372395512e-24	ciliary plasm	2. ciliary plasm	['GO:0032838', 'GO:0097014']	GO:0097014	0
3	-0.12995550869476022	-0.3961460575284882	1.2706081460512713	-21.978200396059762	2.3978952727983707	1.05147658010179e-22	motile cilium	3. motile cilium	['GO:0031514', 'GO:0097729', 'GO:0036126', 'GO:0097730', 'GO:0097731', 'GO:0097733', 'GO:0044308', 'GO:0043197', 'GO:0044309', 'GO:0032420']	GO:0031514	0
4	0.36035010730627737	1.0869159850705754	1.1516741653157216	-16.06691341755102	2.772588722239781	8.57208724290357e-17	monoatomic ion channel complex	4. monoatomic ion channel complex	['GO:0034702', 'GO:0034703', 'GO:0034706', 'GO:0034704', 'GO:1902495', 'GO:1990351', 'GO:0034705', 'GO:0008076', 'GO:0098878', 'GO:0043235', 'GO:0008328', 'GO:0032281', 'GO:0032983', 'GO:0016010', 'GO:0090665']	GO:0034702	0
5	0.10355437406010111	1.1472459377649988	1.1358604537169412	-11.803070311163596	1.9459101490553132	1.57372806130086e-12	microtubule associated complex	5. microtubule associated complex	['GO:0005875', 'GO:0030286', 'GO:0005871', 'GO:0005858', 'GO:0036157', 'GO:0036156']	GO:0005875	0
6	-0.914062346486519	-0.49900352609018617	1.0717622275360685	-10.937494144149609	2.4849066497880004	1.15479755540566e-11	synaptic membrane	6. synaptic membrane	['GO:0097060', 'GO:0045211', 'GO:0042734', 'GO:0099634', 'GO:0098839', 'GO:0032589', 'GO:0031256', 'GO:0032591', 'GO:0032590', 'GO:0031253', 'GO:0060170']	GO:0097060	0
7	0.3747461915511643	0.4992117279767079	1.0038888648977267	-10.394890940593706	1.0986122886681098	4.02818176747327e-11	microtubule	7. microtubule	['GO:0005874', 'GO:0005876']	GO:0005874	0
8	0.5632074302243099	0.055265132762145765	1.4195417980205032	-9.013644009003745	0.6931471805599453	9.69071878580578e-10	perikaryon	8. perikaryon	['GO:0043204']	GO:0043204	0
9	-0.09800483054339607	0.12050869005903177	1.4396158825573226	-6.7695065863447725	0.6931471805599453	1.70017416925266e-07	ciliary basal body	9. ciliary basal body	['GO:0036064']	GO:0036064	0
10	-0.5830480232652082	-0.5228812251199162	1.599412504850087	-6.629043307493264	1.0986122886681098	2.34939852905225e-07	neuron projection terminus	10. neuron projection terminus	['GO:0044306', 'GO:0043679']	GO:0044306	0
11	-0.28843743664173155	-1.0190227723797645	1.88453533360317	-6.027175332777878	0.6931471805599453	9.3934400331896e-07	distal axon	11. distal axon	['GO:0150034']	GO:0150034	0
12	-1.017529212191362	-0.16348013231511796	1.7395566146346944	-5.350452487689187	1.9459101490553132	4.4621843871602e-06	septate junction	12. septate junction	['GO:0070160', 'GO:0005918', 'GO:0043296', 'GO:0060076', 'GO:0031594', 'GO:0060077']	GO:0005918	0
